T D25_9 101 0 12.0262
T D25_8 141 0 22.6668
T D25_7 193 0 22.8632
T D20_9 884 0 51.9198
T D20_8 57 0 2.6054
T D20_7 53 0 3.1605
T D15_9 76 0 2.5793
T D15_8 77 0 2.7681
T D15_7 113 0 5.0896
T C25_9 2001 78184421.4318 134.9033
T C25_8 2001 8549917.1245 105.2004
T C25_7 400 0 21.6487
T C20_9 48 0 1.4488
T C20_8 76 0 2.534
T C20_7 29 0 0.87966
T C15_9 56 0 1.4006
T C15_8 26 0 0.51045
T C15_7 458 0 11.5834
T B30_9 688 0 123.4074
T B30_8 2001 30317086.7202 424.5273
T B30_7 522 0 83.9989
T B30_6 2001 61373696.9551 314.1036
T B30_5 2001 3075557.3293 302.6005
T B30_4 1472 0 206.3362
T B30_3 2001 43838712.1101 413.1325
T B30_2 2001 28140578.7783 474.5525
T B30_1 476 0 79.1405
T B30_1 2001 58891241.6661 422.4636
T B25_9 543 0 43.7327
T B25_8 959 0 74.6143
T B25_7 151 0 11.7491
T B25_6 82 0 7.1605
T B25_5 2001 37663.8967 192.2404
T B25_4 175 0 19.9074
T B25_3 180 0 13.4525
T B25_2 557 0 33.4621
T B25_1 312 0 29.053
T B25_1 1631 0 115.7568
T B20_9 52 0 2.0922
T B20_8 229 0 10.7149
T B20_7 1144 0 44.8004
T B20_6 280 0 10.8898
T B20_5 186 0 7.7401
T B20_4 1451 0 85.0607
T B20_3 1605 0 83.0191
T B20_2 238 0 11.4537
T B20_1 44 0 2.281
T B20_1 118 0 5.8657
T B15_9 466 0 12.3364
T B15_8 51 0 1.2614
T B15_7 72 0 2.0733
T B15_6 53 0 1.173
T B15_5 150 0 5.0748
T B15_4 59 0 1.6321
T B15_3 65 0 2.3716
T B15_2 315 0 9.7833
T B15_1 40 0 1.4617
T B15_1 68 0 2.2738
T A25_9 2001 4327306.9999 140.3255
T A25_8 107 0 5.228
T A25_7 139 0 9.0803
T A20_9 83 0 3.2229
T A20_8 716 0 29.4637
T A20_7 1620 0 55.4091
T A15_9 53 0 1.1104
T A15_8 41 0 1.0603
T A15_7 76 0 3.3326
